test_image,anchor_image,score,num_matches,num_inliers,inlier_ratio,mean_error,vessel_sim
test_13.tiff,anchor_01.tiff,57.326431298874255,12,6,0.5,0.0,0.48316078247185645
test_13.tiff,anchor_02.tiff,-7999977.741485144,3,0,0.0,inf,0.5564628714097647
test_13.tiff,anchor_03.tiff,-7999978.9085329035,3,0,0.0,inf,0.5272866774079151
test_14.tiff,anchor_01.tiff,604.0415428506358,645,195,0.3023255813953488,1.4869447946548462,0.47110194880151557
test_14.tiff,anchor_02.tiff,63.052224747685514,5,4,0.8,0.0,0.47630561869213794
test_14.tiff,anchor_03.tiff,62.11007173761189,5,4,0.8,0.0,0.4527517934402973
test_14.tiff,anchor_05.tiff,48.18747433127597,9,4,0.4444444444444444,0.0,0.4602424138374548
test_14.tiff,anchor_04.tiff,43.80929073647647,12,4,0.3333333333333333,0.0,0.4618989350785785
test_15.tiff,anchor_03.tiff,765.2192029547476,701,246,0.3509272467902996,1.5563547611236572,0.6408237793031221
test_15.tiff,anchor_01.tiff,69.18139515665047,8,6,0.75,0.0,0.5295348789162615
test_15.tiff,anchor_04.tiff,50.15816386026049,10,4,0.4,0.0,0.5539540965065123
test_15.tiff,anchor_05.tiff,45.49402485899188,14,4,0.2857142857142857,0.0,0.5516363357605113
test_15.tiff,anchor_02.tiff,-7999975.366767135,3,0,0.0,inf,0.6158308216239151
test_16.tiff,anchor_04.tiff,678.0378475606364,639,217,0.3395931142410016,1.1285852193832397,0.5620701186515564
test_16.tiff,anchor_05.tiff,662.9929294556498,624,213,0.34134615384615385,1.5137165784835815,0.5612203982418068
test_16.tiff,anchor_03.tiff,57.34108643426871,9,5,0.5555555555555556,0.044657040387392044,0.5119030133786406
test_16.tiff,anchor_01.tiff,54.71125842197818,17,7,0.4117647058823529,0.22349201142787933,0.47571515695267746
test_16.tiff,anchor_02.tiff,-7999978.234584917,1,0,0.0,inf,0.5441353770571348
test_17.tiff,anchor_02.tiff,404.1886676935145,349,130,0.37249283667621774,1.447335124015808,0.2716908804648069
test_17.tiff,anchor_01.tiff,35.96227850442649,17,6,0.35294117647058826,0.559229850769043,0.2079617562938827
test_17.tiff,anchor_05.tiff,35.86553042107697,12,4,0.3333333333333333,0.0,0.26330492719359094
test_17.tiff,anchor_04.tiff,33.73555025355646,14,4,0.2857142857142857,0.0,0.25767447062462584
test_17.tiff,anchor_03.tiff,31.6993088443944,18,5,0.2777777777777778,0.4217039942741394,0.2240457421869102
test_18.tiff,anchor_04.tiff,337.74155123923913,387,106,0.2739018087855297,1.3781427145004272,0.4952655150955342
test_18.tiff,anchor_05.tiff,257.54343580990917,338,80,0.23668639053254437,1.4140417575836182,0.4847078562319083
test_18.tiff,anchor_03.tiff,52.693088829659544,7,4,0.5714285714285714,0.0,0.44589864931291734
test_18.tiff,anchor_02.tiff,50.786775645517366,8,4,0.5,0.0,0.4696693911379341
test_18.tiff,anchor_01.tiff,46.98173490028035,9,4,0.4444444444444444,0.0,0.43009892806256433
test_19.tiff,anchor_04.tiff,731.954585984218,609,236,0.38752052545155996,1.6445744037628174,0.5402590049064544
test_19.tiff,anchor_05.tiff,730.001536278661,581,235,0.4044750430292599,1.596500277519226,0.5398634194411097
test_19.tiff,anchor_01.tiff,57.058804293493445,12,6,0.5,0.0,0.4764701073373361
test_19.tiff,anchor_02.tiff,54.17491984714244,8,4,0.5,0.0,0.5543729961785611
test_19.tiff,anchor_03.tiff,48.49588443243771,10,4,0.4,0.0,0.5123971108109429
test_20.tiff,anchor_03.tiff,469.729717566147,379,148,0.39050131926121373,1.4576518535614014,0.5442719906047421
test_20.tiff,anchor_02.tiff,53.09724028375618,7,4,0.5714285714285714,0.0,0.4560024356653331
test_20.tiff,anchor_04.tiff,51.062799100279506,11,5,0.45454545454545453,0.0,0.44702452296153306
test_20.tiff,anchor_05.tiff,49.55583741566606,12,5,0.4166666666666667,0.0,0.4472292687249849
test_20.tiff,anchor_01.tiff,47.640026526060296,18,6,0.3333333333333333,0.0,0.4076673298181741
test_21.tiff,anchor_03.tiff,933.9283115204589,672,302,0.4494047619047619,1.580650806427002,0.5649331873921122
test_21.tiff,anchor_01.tiff,52.1109229857599,15,6,0.4,0.0,0.45277307464399735
test_21.tiff,anchor_04.tiff,51.38458355237324,8,4,0.5,0.0,0.48461458880933117
test_21.tiff,anchor_05.tiff,44.69088083521896,12,4,0.3333333333333333,0.0,0.4839386875471408
test_21.tiff,anchor_02.tiff,-7999979.318751519,3,0,0.0,inf,0.5170312120337858
test_22.tiff,anchor_05.tiff,349.5894962004497,267,108,0.4044943820224719,1.301093339920044,0.495461690972779
test_22.tiff,anchor_04.tiff,323.35899838112283,272,99,0.3639705882352941,1.0520209074020386,0.5054085527731847
test_22.tiff,anchor_02.tiff,69.16487285970891,4,4,1.0,0.0,0.4291218214927226
test_22.tiff,anchor_01.tiff,49.7978395278316,7,4,0.5714285714285714,0.0,0.37351741676721867
